organization_name,subdomain,default_time_zone,created_date,status
SG LIFE CONCEPTS PTE LTD,sglc,Asia/Singapore,28/08/2025,Active
ALADDIN INDIAN FOOD PTE.LTD.,aladdinindianfood,Asia/Singapore,27/08/2025,Active
LETZ CHI1L PTE. LTD.,letzchi1l,Asia/Singapore,27/08/2025,Active
DHARSHA PTE. LTD.,dharsa,Asia/Singapore,27/08/2025,Active
MCB RESTAURANT PTE. LTD.,meerascurry,Asia/Singapore,27/08/2025,Active
SYH PLUMBER AND ELECTRICAL (PTE.) LTD.,syhbathroom,Asia/Singapore,27/08/2025,Active
Heng Heng 96 Fruits and Vegetables Pte. Ltd.,hengheng96,Asia/Singapore,27/08/2025,Active
M BEAUTY STUDIO,mbeautystudio,Asia/Singapore,27/08/2025,Active
FISH SOUP STORY @ FISH TALK,fishtalk,Asia/Singapore,26/08/2025,Active
Fortis Invicta Pte Ltd,fortisinvicta,Asia/Singapore,26/08/2025,Active
MR.ING CAFE & BISTRO,mringcafe,Asia/Singapore,26/08/2025,Active
Jpc Food Management Pte Ltd ,jpcfood,Asia/Singapore,26/08/2025,Active
IP'S SHOE N KEY SPECIALIST,ips,Asia/Singapore,26/08/2025,Active
Chai O Clock,chaioclock,Asia/Singapore,26/08/2025,Active
MURUGAPPAN CAFE PTE. LTD,murugappancafe,Asia/Singapore,26/08/2025,Active
J&A Concept Pte. Ltd. ,jaconcept,Asia/Singapore,26/08/2025,Active
Hui Shen Trading,zhangjiyunjiao,Asia/Singapore,26/08/2025,Active
LND Concept,lndconcept,Asia/Singapore,26/08/2025,Active
BLUETRONIX,bluetronix,Asia/Singapore,26/08/2025,Active
BUSAN POCHA PTE. LTD.,busanpocha,Asia/Singapore,25/08/2025,Active
E-XIN EXPRESS PTE. LTD.,exin,Asia/Singapore,25/08/2025,Active
Demo Phan Nee Investment Pte Ltd (DEMO),demophannee,Asia/Singapore,25/08/2025,Active
SIG BEAUTY PTE.LTD.,beautysmile,Asia/Singapore,24/08/2025,Active
Sinson LLP,sinsonllp,Asia/Singapore,22/08/2025,Active
PHONEBOX,phonebox,Asia/Singapore,22/08/2025,Active
JURONG PROVISION SHOP,jurongprovisionshop,Asia/Singapore,22/08/2025,Active
P & V PARK VIEW GARDEN & LANDSCAPE SERVICES,pvg,Asia/Singapore,22/08/2025,Active
E-HOME ENTERPRISE PTE. LTD,ehome,Asia/Singapore,22/08/2025,Active
Hui Shen Trading Pte Ltd ,zhangyiyunjiao,Asia/Singapore,21/08/2025,Active
Kashful food palace,kashful,Asia/Singapore,21/08/2025,Active
IT'S NYONYA PTE LTD,nyonya,Asia/Singapore,21/08/2025,Active
Lee Chee Seng Polytheme Co.,leecheeseng,Asia/Singapore,21/08/2025,Active
Oceanda Impex Pte Ltd,oceandaimpex,Asia/Singapore,21/08/2025,Active
MAESTROLOGIC Pte Ltd,maestrologic,Asia/Singapore,21/08/2025,Active
UT AUTOWORKS,utautoworks,Asia/Singapore,21/08/2025,Active
Lao Hokkien (Tanjong Rhu) Live Seafood,laohokkienseafood,Asia/Singapore,21/08/2025,Active
Ofira,ofira,Asia/Singapore,21/08/2025,Active
Glory Enterprise,gloryenterprise,Asia/Singapore,21/08/2025,Active
Lakeside Eatery,lakesideeateryjw,Asia/Singapore,20/08/2025,Active
trust and taste pte ltd,trustandtaste,Asia/Singapore,20/08/2025,Active
HE JI FA TRADING,hejifatrading,Asia/Singapore,20/08/2025,Active
Al Khadija ,alkhadijah,Asia/Singapore,20/08/2025,Active
Uu licious,uulicious,Asia/Singapore,20/08/2025,Active
Shop@Dbay,shopdb,Asia/Singapore,20/08/2025,Active
TRADITIONAL DELIGHTS PTE. LTD.,traditionaldelights,Asia/Singapore,20/08/2025,Active
SHUN FENG ROASTED PTE LTD,shunfeng,Asia/Singapore,20/08/2025,Active
J&M Innovations Pte Ltd,jminnovations,Asia/Singapore,20/08/2025,Active
TIONG BAHRU YONG TAO HU PTE. LTD.,tbytf,Asia/Singapore,19/08/2025,Active
Four Seas Foods Pte Ltd,fourseasfoods,Asia/Singapore,19/08/2025,Active
Wow Wow Wok ,wowwowwok,Asia/Singapore,19/08/2025,Active
HOE KEE HUAT SUPERMART,hoekeehuat,Asia/Singapore,19/08/2025,Active
MABOKMACHAS PTE. LTD.,blueskies,Asia/Singapore,19/08/2025,Active
MK SUPERMARKET ,mksupermarket,Asia/Singapore,19/08/2025,Active
COLDWORLD ENGINEERING PTE. LTD.,coldworldengineering,Asia/Singapore,19/08/2025,Active
GUAN LEE VEGETABLES & FRUITS PTE LTD,guanlee,Asia/Singapore,19/08/2025,Active
Lavender Mart Pte. Ltd. ,lavendermart,Asia/Singapore,18/08/2025,Active
Tha Siam Authentic Thai Kitchen @ Jalan Besar Tyrewhitt,thasiamjalanbesar,Asia/Singapore,18/08/2025,Active
PAPA LOW'S PTE LTD,papalows,Asia/Singapore,18/08/2025,Active
OCEAN WORLD Pte Ltd,oceanworld,Asia/Singapore,18/08/2025,Active
Zhen Xin Pte Ltd ,zhenxin,Asia/Singapore,18/08/2025,Active
Pretty Face Beauty Salon,prettyfacebeautysalon,Asia/Singapore,18/08/2025,Active
Ocean Hub Pte Ltd,oceanhub,Asia/Singapore,18/08/2025,Active
FIRST SEAFOOD GROUP PTE. LTD.,firstseafood,Asia/Singapore,18/08/2025,Active
HOUSE OF ARTZ PTE. LTD.,houseofartz,Asia/Singapore,18/08/2025,Active
EDEN MINIMART PTE. LTD. ,edenminimart,Asia/Singapore,18/08/2025,Active
EDEN GARDEN FARM PTE. LTD. ,edengarden,Asia/Singapore,18/08/2025,Active
Da Wei Wang Foodie Pte Ltd,dawei,Asia/Singapore,18/08/2025,Active
Alhamdulilah trading pte ltd,alhamdulilah,Asia/Singapore,16/08/2025,Active
WANGLEE FOOD HOLDINGS PTE. LTD.,wangleecafe,Asia/Singapore,15/08/2025,Active
WANGLEE SEAFOOD PTE. LTD.,wanglee,Asia/Singapore,15/08/2025,Active
Bizgram Asia Pte Ltd,bizgram,Asia/Singapore,15/08/2025,Active
FSSO IT SOLUTIONS,fsso,Asia/Singapore,15/08/2025,Active
Little Bowl,littlebowl,Asia/Singapore,15/08/2025,Active
XING SHENG EATERY PTE LTD,xingshengeatery,Asia/Singapore,15/08/2025,Active
4Y Pte Ltd,gymhaus,Asia/Singapore,15/08/2025,Active
Crêpes and More Pte Ltd,crepenmore,Asia/Singapore,15/08/2025,Active
ONE OXELLEO PTE. LTD.,yanxitang,Asia/Singapore,14/08/2025,Active
Perfect Hair Pte Ltd,perfecthair,Asia/Singapore,14/08/2025,Active
8 Series,8series,Asia/Singapore,14/08/2025,Active
GOVEGPAL'S  PTE LTD,gopalstheholycow,Asia/Singapore,14/08/2025,Active
AWYT PTE LTD,awyt,Asia/Singapore,14/08/2025,Active
AZWZ PTE LTD,azwz,Asia/Singapore,14/08/2025,Active
WONDER CAPITAL PTE. LTD.,wonder,Asia/Singapore,14/08/2025,Active
Ali express sg pte ltd,anusiaali,Asia/Singapore,14/08/2025,Active
NEW DSM PTE LTD,newdsm,Asia/Singapore,14/08/2025,Active
Sing In Cuisine ,singincuisine,Asia/Singapore,14/08/2025,Active
Anumani Trading Pte. Ltd.,anumanitrading,Asia/Singapore,13/08/2025,Active
3 R Kushtia trading Pte Ltd,3rkushtiatrading,Asia/Singapore,13/08/2025,Active
Trustworthy Value Mart Pte. Ltd.,twmpl,Asia/Singapore,12/08/2025,Active
C3 Smart Repair,citri,Asia/Singapore,12/08/2025,Active
DSE SERVICE PTE LTD,dseservice,Asia/Singapore,12/08/2025,Active
Durian Era Cafe ,durianeracafe,Asia/Singapore,12/08/2025,Active
Claw Pi Thiam ,clawpithiam,Asia/Singapore,12/08/2025,Active
605 Eng Kopitiam,kaiseafood,Asia/Singapore,12/08/2025,Active
Hup Chong Management Pte Ltd ,hupchongmanagement,Asia/Singapore,11/08/2025,Active
CASSARA BY WU LLP,cassarabywu,Asia/Singapore,11/08/2025,Active
Golden Saffron Haus Pte Ltd ,goldensaffronhaus,Asia/Singapore,11/08/2025,Active
SIN HOCK HENG CURRY RICE,shhcurryrice,Asia/Singapore,11/08/2025,Active
Omega Minimart ,omegaminimart,Asia/Singapore,11/08/2025,Active
JI XIANG CONFECTIONERY,jixiang,Asia/Singapore,11/08/2025,Active
KHAN SAAB RESTAURANT PTE LTD,khansaab,Asia/Singapore,11/08/2025,Active
SM Mart Pte Ltd ,smmart,Asia/Singapore,09/08/2025,Active
SM Ventura Capital Pte Ltd,smventura,Asia/Singapore,09/08/2025,Active
Kavitha Hours ,kavithahours,Asia/Singapore,08/08/2025,Active
DELIGHT SUPERMART PTE. LTD.,delightsupermart,Asia/Singapore,08/08/2025,Active
APPLAUSE TYRWHITT PTE LTD,applauseontyrwhitt,Asia/Singapore,08/08/2025,Active
Sin Huat Convenience Store ,sinhuat,Asia/Singapore,08/08/2025,Active
LF HEALTH AND BEAUTY SOLUTIONS PTE LTD,lfhb,Asia/Singapore,08/08/2025,Active
TONGTA PTE. LTD.,tongta,Asia/Singapore,07/08/2025,Active
HOCK SOON ANN ,hocksoonann,Asia/Singapore,07/08/2025,Active
Emo Snacks Pte Ltd ,emosnacks,Asia/Singapore,07/08/2025,Active
KIMDONG PTE LTD,kido,Asia/Singapore,07/08/2025,Active
Yu Hui Xiang Chong Qiang Xiao Mian,yuhuixiang,Asia/Singapore,07/08/2025,Active
Taime Pte Ltd,taime,Asia/Singapore,07/08/2025,Active
SG JB Tai Pai Tong,sgjbtaipaitong,Asia/Singapore,07/08/2025,Active
Modu Hair Zone Pte Ltd,moduhairzone,Asia/Singapore,07/08/2025,Active
Ong Swee Guan Department Store Pte Ltd,ongsweeguan,Asia/Singapore,07/08/2025,Active
JOM TEH TARIK PTE. LTD.,jomtehtarik,Asia/Singapore,06/08/2025,Active
Home,homekelly,Asia/Singapore,06/08/2025,Active
Dhana News and Services Pte Ltd,dhananews,Asia/Singapore,06/08/2025,Active
Begonia Supermarket ,begsupermarket,Asia/Singapore,06/08/2025,Active
BIZ BLIZ ENTERPRISE,bizbliz,Asia/Singapore,06/08/2025,Active
Dong Xue Food ,dongxue,Asia/Singapore,06/08/2025,Active
Arteastiq Pte. Ltd.,grouparteastiq,Asia/Singapore,06/08/2025,Active
Qian Wei Food PTE LTD,qianwei,Asia/Singapore,06/08/2025,Active
Li Kang Deli PTE LTD,likangdeli,Asia/Singapore,06/08/2025,Active
Don Baasha Restaurant ,donbaasha,Asia/Singapore,05/08/2025,Active
Shabaaz Kitchen,shabaazkitchen,Asia/Singapore,05/08/2025,Active
246 Tong Ler ,246tongler,Asia/Singapore,05/08/2025,Active
Double K Food enterprise LLP,doublek,Asia/Singapore,05/08/2025,Active
Xin ji Tze Char,xinji,Asia/Singapore,05/08/2025,Active
Works Patissier Pte Ltd,workpatissier,Asia/Singapore,05/08/2025,Active
Carol Satay and Otah,carolsatay,Asia/Singapore,04/08/2025,Active
Qiu Jie PTE LTD,qiujie,Asia/Singapore,04/08/2025,Active
Traditional Sarawak Kolo Mee,traditional,Asia/Singapore,04/08/2025,Active
UCOOL SERVICES PTE. LTD.,ucoolservices,Asia/Singapore,04/08/2025,Active
WORLD TEA HOUSE SG,worldteahousesg,Asia/Singapore,04/08/2025,Active
JOJO-LICIOUS,jojo,Asia/Singapore,04/08/2025,Active
TURTLE WISMA PTE LTD,turtle03,Asia/Singapore,04/08/2025,Active
DANZYL PRIVATE LIMITED (PLQ),turtle02,Asia/Singapore,04/08/2025,Active
TURTLE PUNGGOL PTE LTD,turtle01,Asia/Singapore,04/08/2025,Active
ZBS PRIVATE LIMITED,zbs,Asia/Singapore,03/08/2025,Active
OG MART PTE. LTD.,ogmart,Asia/Singapore,01/08/2025,Active
MY LIGHTHOUSE PTE. LTD.,mylighthouse,Asia/Singapore,01/08/2025,Active
HEAVENLY PTE LTD,heavenly,Asia/Singapore,01/08/2025,Active
2JC VALUE PTE. LTD. ,2jcpl,Asia/Singapore,01/08/2025,Active
Cq88 Pte Ltd,cq88,Asia/Singapore,01/08/2025,Active
MY KIDS CRAVING,mykidscraving,Asia/Singapore,31/07/2025,Active
Chindamani Indian Restaurant,chindamaniindianrst,Asia/Singapore,31/07/2025,Active
The People's Company Pte Ltd,thepeoplescompany,Asia/Singapore,31/07/2025,Active
Ryo Yakiniku PTE PTD,ryoyakiniku,Asia/Singapore,31/07/2025,Active
Hao Kang Kai,haokangkai,Asia/Singapore,31/07/2025,Active
Oh! Cafe Pte Ltd,ohcafe,Asia/Singapore,31/07/2025,Active
ZEN COLLECTIVE PTE. LTD.,bellies,Asia/Singapore,31/07/2025,Active
FIRST MARKET ONLINE PTE. LTD.,firstmarket,Asia/Singapore,31/07/2025,Active
Diamond mount Pte Ltd ,waseef,Asia/Singapore,31/07/2025,Active
The Cha Shop Pte Ltd,thechashoppteltd,Asia/Singapore,30/07/2025,Active
Ga-Hock Eating House ,gahock,Asia/Singapore,30/07/2025,Active
Suriya Restaurant Pte Ltd ,suriyarestaurant,Asia/Singapore,30/07/2025,Active
GOLDEN BANANA,goldenbanana,Asia/Singapore,30/07/2025,Active
Fairmart Traders Pte. Ltd. ,fairmarttrader,Asia/Singapore,30/07/2025,Active
Fairmart food Pte. Ltd.,fairmartfood,Asia/Singapore,30/07/2025,Active
COMICS WORLD,comicsworld,Asia/Singapore,30/07/2025,Active
Rk stores trading,rkstores,Asia/Singapore,30/07/2025,Active
oriental delight catering,orientaldelightcatering,Asia/Singapore,30/07/2025,Active
Inferno Gaming,infernogaming,Asia/Singapore,30/07/2025,Active
YU MAI FANG PTE. LTD.,yumaifang,Asia/Singapore,30/07/2025,Active
Wilson F & B Services,wilsonfnb,Asia/Singapore,29/07/2025,Active
Bismi Info Tech & Trading Pte Ltd,bismi,Asia/Singapore,29/07/2025,Active
SIP CONCEPTS PTE. LTD. ,sipconcept,Asia/Singapore,29/07/2025,Active
Sri Lakshmi Vinayagar Flowers & Trading,srilakshmi,Asia/Singapore,29/07/2025,Active
Floral studio & gifts,floralstudio,Asia/Singapore,29/07/2025,Active
Chindamani Restaurant Pte Ltd,chindamanirestaurant,Asia/Singapore,29/07/2025,Active
AddictedByLizKamal,addictedbylizkamal,Asia/Singapore,29/07/2025,Active
LAVENDER MEDICAL CLINIC & SURGERY PTE LTD,lavendermedical,Asia/Singapore,28/07/2025,Active
AC HUB PTE LTD ,achub,Asia/Singapore,28/07/2025,Active
Kar Investment Paradise,karinvestment,Asia/Singapore,28/07/2025,Active
STEAM MASTER CULINARY PTE. LTD.,steammasterculinary,Asia/Singapore,28/07/2025,Active
Ah Hua Eating House,ahhuaeatinghouse,Asia/Singapore,28/07/2025,Active
Star Recycling Pte Ltd,starrecycling,Asia/Singapore,28/07/2025,Active
Chang Sheng Eating Place Pte Ltd ,changsheng,Asia/Singapore,28/07/2025,Active
CHIACAI PTE LTD,chiacai,Asia/Singapore,28/07/2025,Active
Photo Now Pte ltd,photonow,Asia/Singapore,28/07/2025,Active
Dapur Ummu Hani,dapurummuhani,Asia/Singapore,28/07/2025,Active
WEIPOH FRUITS PTE LTD,weipohfruits,Asia/Singapore,28/07/2025,Active
Keong Keong Kee mixed rice ,keongkee,Asia/Singapore,28/07/2025,Active
MANI IYER MESS & CATERING PTE. LTD,maniiyer,Asia/Singapore,28/07/2025,Active
Aarya Restaurant Pte Ltd ,aaryarestaurant,Asia/Singapore,27/07/2025,Active
Ming Wan Heng Minimart,mingwanheng,Asia/Singapore,26/07/2025,Active
Janet Mobile,janetmobile,Asia/Singapore,25/07/2025,Active
Yeong Sheng Hardware & Household Products ,yshhp,Asia/Singapore,25/07/2025,Active
The Pantree ,thepantree,Asia/Singapore,25/07/2025,Active
Bahtera Avente Pte Ltd ,paradiso,Asia/Singapore,25/07/2025,Active
Satay Ummi LLP ,satayummi,Asia/Singapore,24/07/2025,Active
CHAI DURIAN FRUIT PTE. LTD.,chaidurian,Asia/Singapore,24/07/2025,Active
 JIEWEI MINI MARKET,jiewei,Asia/Singapore,24/07/2025,Active
CHWAN URBAN FOOD PTE. LTD. (SUB),baybay,Asia/Singapore,24/07/2025,Active
Ayska Hijab,ayska,Asia/Singapore,24/07/2025,Active
THE RACQUET ASSEMBLY PTE. LTD.,racquetassembly,Asia/Singapore,24/07/2025,Active
Seafood Zi Char,xinxilaiseafood,Asia/Singapore,24/07/2025,Active
SM Tresha Pte Ltd,smtresha,Asia/Singapore,24/07/2025,Active
Happy Super Mart Pte ltd,happy,Asia/Singapore,24/07/2025,Active
Ultimate Sup Pte Ltd,ultimatesup,Asia/Singapore,24/07/2025,Active
C & H MINIMART 2018,chminimart,Asia/Singapore,24/07/2025,Active
Lim Yan Hwee Trading Pte Ltd,lyhtrading,Asia/Singapore,24/07/2025,Active
Sakiz Trading Pte Ltd,sakiz,Asia/Singapore,23/07/2025,Active
Victory Boat Noodle Cafe LLP,victory,Asia/Singapore,23/07/2025,Active
Assad Eats,assadeats,Asia/Singapore,23/07/2025,Active
Hunger food PTE LTD,hungerfood,Asia/Singapore,23/07/2025,Active
CHANG JIANG SEAFOOD RESTAURANT,changjiangseafoodrestaurant,Asia/Singapore,23/07/2025,Active
The Clifford Cafe Pte Ltd,thecliffordcafe,Asia/Singapore,23/07/2025,Active
TEA DOUGH PTE. LTD.,teadough,Asia/Singapore,23/07/2025,Active
R.I.Prata Pte. Ltd.,ripratapteltd,Asia/Singapore,23/07/2025,Active
Ohms Garden Pte Ltd ,ohmsgarden,Asia/Singapore,22/07/2025,Active
21 Seafood Kitchen PTE LTD,21seafood,Asia/Singapore,22/07/2025,Active
KAMAL RESTAURANT PTE LTD ,kamalrestaurant,Asia/Singapore,22/07/2025,Active
heng heng 96 fruits and vegetables pte ltd,hengheng96fruitsandvegetables,Asia/Singapore,22/07/2025,Active
NEW PALANI S F&B PTE LTD,npalanifnb,Asia/Singapore,22/07/2025,Active
SHEN ZICHEN (TCM) THERAPLY CENTRE,shenzichen,Asia/Singapore,22/07/2025,Active
(DEMO) ANTOM 15,antomdemo15,Asia/Singapore,22/07/2025,Active
(DEMO) ANTOM 14,antomdemo14,Asia/Singapore,22/07/2025,Active
(DEMO) ANTOM 13,antomdemo13,Asia/Singapore,22/07/2025,Active
(DEMO) ANTOM 12,antomdemo12,Asia/Singapore,22/07/2025,Active
(DEMO) ANTOM 11,antomdemo11,Asia/Singapore,22/07/2025,Active
HEALTHY MASSAGE,healthymassage,Asia/Singapore,22/07/2025,Active
L&M Eating House Pte Ltd ,lnm,Asia/Singapore,22/07/2025,Active
SULTAN CURRY SG,sultancurrysg,Asia/Singapore,22/07/2025,Active
Laksa Empire,laksaempire,Asia/Singapore,21/07/2025,Active
Seeking Investment Pte Ltd,yole,Asia/Singapore,21/07/2025,Active
SSU Foods,ssufoods,Asia/Singapore,21/07/2025,Active
Fuku Food Pte Ltd,fukudon,Asia/Singapore,21/07/2025,Active
Skin Logic Pte Ltd,skinlogic,Asia/Singapore,21/07/2025,Active
Wing Keong Cafeteria,wingkeong,Asia/Singapore,21/07/2025,Active
(DEMO) ANTOM 10,antomdemo10,Asia/Singapore,21/07/2025,Active
(DEMO) ANTOM 9,antomdemo9,Asia/Singapore,21/07/2025,Active
(DEMO) ANTOM 8,antomdemo8,Asia/Singapore,21/07/2025,Active
(DEMO) ANTOM 7,antomdemo7,Asia/Singapore,21/07/2025,Active
(DEMO) ANTOM 6,antomdemo6,Asia/Singapore,21/07/2025,Active
(DEMO) ANTOM 5,antomdemo5,Asia/Singapore,21/07/2025,Active
(DEMO) ANTOM 4,antomdemo4,Asia/Singapore,21/07/2025,Active
(DEMO) ANTOM 3,antomdemo3,Asia/Singapore,21/07/2025,Active
(DEMO) ANTOM 2,antomdemo2,Asia/Singapore,21/07/2025,Active
(DEMO) ANTOM 1,antomdemo1,Asia/Singapore,21/07/2025,Active
FRIED BEE HOON,friedbeehoon,Asia/Singapore,21/07/2025,Active
EXQUISITE AURA SG BY RYNN QALISHA,exquisiteaurasg,Asia/Singapore,18/07/2025,Active
New Palani S Eating House Pte Ltd,newpalani,Asia/Singapore,18/07/2025,Active
New Palani Indian Food,newpalaniindian,Asia/Singapore,18/07/2025,Active
SHI SHANG TASTE PTE. LTD.,shishangtaste,Asia/Singapore,18/07/2025,Active
PETMART PTE. LTD.,petmart,Asia/Singapore,17/07/2025,Active
Teng Kee Food Pte. Ltd.,tengkeefood,Asia/Singapore,17/07/2025,Active
605 ENG KOPITIAM,605,Asia/Singapore,17/07/2025,Active
Nour Modest with Style,modestnour,Asia/Singapore,17/07/2025,Active
ORANGE CAFE PTE. LTD.,orangecafe,Asia/Singapore,17/07/2025,Active
Gifts Boutique,giftsboutique,Asia/Singapore,16/07/2025,Active
Infinity Tea Pte Ltd,infinitytea,Asia/Singapore,16/07/2025,Active
S S V Trading ,ssvtrading,Asia/Singapore,16/07/2025,Active
Homemade Italian,homemadeitalian,Asia/Singapore,16/07/2025,Active
FRUITPARTY PTE. LTD.,fruitparty,Asia/Singapore,15/07/2025,Active
Venus Mart Pte Ltd,venusmart,Asia/Singapore,15/07/2025,Active
SL Hair & Beauty Slimming Centre PTE LTD,slbeauty,Asia/Singapore,15/07/2025,Active
[Demo] Keith,demokeith,Asia/Singapore,15/07/2025,Active
Simply Convenience Store ,simplyconvenience,Asia/Singapore,15/07/2025,Active
BITES AND BUSINESSES PTE LTD,bitesandbusinesses,Asia/Singapore,15/07/2025,Active
Paann Hair & Nail Pte Ltd,paannhairnail,Asia/Singapore,15/07/2025,Active
Makan Matters,makanmatters,Asia/Singapore,15/07/2025,Active
Muthu Chanda Trading ,muthuchandatrading,Asia/Singapore,14/07/2025,Active
Sacred Space,sacredspace,Asia/Singapore,14/07/2025,Active
Grab and Go Mart ,grabandgomart,Asia/Singapore,14/07/2025,Active
SABAREES TRADING PTE. LTD,sabarees,Asia/Singapore,14/07/2025,Active
Sun Fresh F & B PTE LTD,sunfresh,Asia/Singapore,14/07/2025,Active
FLIGHT GOLF,flightgolf,Asia/Singapore,11/07/2025,Active
Mr Alagu Minimart,alaguminimart,Asia/Singapore,11/07/2025,Active
Xiao Lin Li PTE LTD,xiaolinli,Asia/Singapore,11/07/2025,Active
SOLEIL STORY PTE LTD,soleil,Asia/Singapore,11/07/2025,Active
JIAJIA COFFEESHOP (NEW),jiajiacoffeeshop1,Asia/Singapore,11/07/2025,Active
Star Minimart ,starminimart,Asia/Singapore,10/07/2025,Active
PSN Supermarket ,psn,Asia/Singapore,10/07/2025,Active
Creative Coffee & Foodies,creativecoffee,Asia/Singapore,10/07/2025,Active
96 Fruits (TPY) Trading,tpytrading,Asia/Singapore,09/07/2025,Active
XING YUN EATING HOUSE,xingyuneatinghouse,Asia/Singapore,09/07/2025,Active
JIN YUN EATING HOUSE,jinyuneatinghouse,Asia/Singapore,09/07/2025,Active
Marlinamuslimfood,marlinafood,Asia/Singapore,09/07/2025,Active
Great Harvest Restaurant Pte Ltd,qilaifeng,Asia/Singapore,09/07/2025,Active
Perfect Pinch Pte Ltd,perfectpinch,Asia/Singapore,09/07/2025,Active
WOKWISE LLP,wokwise,Asia/Singapore,09/07/2025,Active
Ho Ho Chiak Pte Ltd,hohochiak,Asia/Singapore,09/07/2025,Active
Value dollar enterprise,valuedollar,Asia/Singapore,09/07/2025,Active
Joyful CCK,joyful,Asia/Singapore,09/07/2025,Active
Need for Mod Pte Ltd ,evoke,Asia/Singapore,09/07/2025,Active
168 Fresh Fruits Trading,168freshfruittrading,Asia/Singapore,08/07/2025,Active
Inventory MY,inventorymy,Asia/Singapore,08/07/2025,Active
LOCAL COFFEE PEOPLE (IP) PTE. LTD.,localcoffeepeopleip,Asia/Singapore,08/07/2025,Active
Vibrahealth Pte Ltd,vibrahealth,Asia/Singapore,08/07/2025,Active
EPOS Pte Ltd,epospteltd,Asia/Singapore,07/07/2025,Active
Nushee Nurra Designs PTE LTD,nusheenurradesigns,Asia/Singapore,07/07/2025,Active
Sin yu rong trading,syr,Asia/Singapore,07/07/2025,Active
Annai super mart pte ltd ,annaimart,Asia/Singapore,07/07/2025,Active
Ecoscrap Pte Ltd,ecoscrapasia,Asia/Singapore,07/07/2025,Active
Rizdano Toyz,rizdanotoyz,Asia/Singapore,05/07/2025,Active
Zhou Jia Pte Ltd ,zhoujia,Asia/Singapore,04/07/2025,Active
Sunshine grocery ,sunshinegrocery,Asia/Singapore,04/07/2025,Active
Sunraise Pte Ltd ,sunraise,Asia/Singapore,04/07/2025,Active
D'BEARZ,dbearz,Asia/Singapore,04/07/2025,Active
D'ventures SG PTE LTD,dventuressg,Asia/Singapore,04/07/2025,Active
TRINITY FORTUNA HOLDINGS PTE. LTD.,washst,Asia/Singapore,04/07/2025,Active
Ivan's cabina,cabina,Asia/Singapore,04/07/2025,Active
Eng kian yew textile and curtains centre,engkianyew,Asia/Singapore,04/07/2025,Active
Singha Int Trade Pte Ltd,bangalorecafe,Asia/Singapore,03/07/2025,Active
Flamboyant goods pte ltd,flamboyantgoods,Asia/Singapore,03/07/2025,Active
Geylang Prawn Noodles,geylangprawnnoodles,Asia/Singapore,03/07/2025,Active
Durian Lah,durianlah,Asia/Singapore,03/07/2025,Active
Wee Lin F & B,weelinfb,Asia/Singapore,03/07/2025,Active
Yong An Minimart ,yonganminimart,Asia/Singapore,03/07/2025,Active
NYEE PHOE FLOWER GARDEN PTE LTD,nyeephoeflowergarden,Asia/Singapore,03/07/2025,Active
Urban Group Pte Ltd,urbangroup,Asia/Singapore,03/07/2025,Active
coral fanatics,coralfanatics,Asia/Singapore,02/07/2025,Active
Good Luck Corner,goodluckcorner,Asia/Singapore,02/07/2025,Active
BARANGBAIK,barangbaik,Asia/Singapore,02/07/2025,Active
Hong Xing Handmade Foodstuff PTE LTD,hongxinghandmadefishball,Asia/Singapore,02/07/2025,Active
FUJITA M&E PTE. LTD. ,fujita,Asia/Singapore,02/07/2025,Active
Sree Maha Lakshmi Stores ,sreemaha,Asia/Singapore,01/07/2025,Active
Savoury food empire private limited,sfe,Asia/Singapore,01/07/2025,Active
Durian angel pte ltd,durianangel,Asia/Singapore,01/07/2025,Active
THE DURIAN STORY TRADING PTE.LTD.,thedurianstory,Asia/Singapore,01/07/2025,Active
Shen Li Restaurant,shenli,Asia/Singapore,01/07/2025,Active
Chuan kee f&b pte ltd,chuankeeseafood,Asia/Singapore,01/07/2025,Active
Haoru pte ltd,haoru,Asia/Singapore,01/07/2025,Active
Long Win Aircondition Engineering Pte Ltd,longwinaircon,Asia/Singapore,01/07/2025,Active
Legacy food noodle pte ltd,legacyporknoodle,Asia/Singapore,30/06/2025,Active
365 F&B MANAGEMENT PTE. LTD.,365,Asia/Singapore,30/06/2025,Active
Sri Marketing ,srimarketing,Asia/Singapore,30/06/2025,Active
Taste of Mum Pte Ltd,tasteofmum,Asia/Singapore,30/06/2025,Active
B&H (T828) Pte Ltd,jiachang,Asia/Singapore,30/06/2025,Active
savor & serve catering pte ltd,savorservecatering,Asia/Singapore,30/06/2025,Active
N S Department Store,nsdep,Asia/Singapore,30/06/2025,Active
MEEPOK BOYS PTE LTD,meepokboys,Asia/Singapore,30/06/2025,Active
OBO COLLECTIBLES,obocollectibleswaterloo,Asia/Singapore,30/06/2025,Active
Jia jia coffeeshop,jiajiacoffeeshop,Asia/Singapore,27/06/2025,Active
FENG HUA RESTAURANT PTE. LTD. ,fenghua,Asia/Singapore,27/06/2025,Active
TOO MANY KOOKS PTE. LTD.,kook,Asia/Singapore,27/06/2025,Active
QXA PTE LTD,qxa,Asia/Singapore,27/06/2025,Active
Thiam Yian Confectionery,thiamyian,Asia/Singapore,27/06/2025,Active
next chapter fnb pte ltd,nextchapter,Asia/Singapore,27/06/2025,Active
